date,units,tavg,preciptotal,rolling_mean,rolling_min,rolling_max,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,is_weekend,holiday,day_of_week_1,day_of_week_2,day_of_week_3,day_of_week_4,day_of_week_5,day_of_week_6,day_of_week_7,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_of_month_1,day_of_month_2,day_of_month_3,day_of_month_4,day_of_month_5,day_of_month_6,day_of_month_7,day_of_month_8,day_of_month_9,day_of_month_10,day_of_month_11,day_of_month_12,day_of_month_13,day_of_month_14,day_of_month_15,day_of_month_16,day_of_month_17,day_of_month_18,day_of_month_19,day_of_month_20,day_of_month_21,day_of_month_22,day_of_month_23,day_of_month_24,day_of_month_25,day_of_month_26,day_of_month_27,day_of_month_28,day_of_month_29,day_of_month_30,day_of_month_31
2012-01-31,517,50.388888888888886,0.049210526315789475,723.0,518.0,988.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,808.0,803.0,698.0,569.0,617.0,571.0,702.0,882.0,887.0,597.0,617.0,755.0,945.0,747.0,878.0,870.0,778.0,988.0,651.0,778.0,655.0,912.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-02-01,911,52.388888888888886,0.008684210526315789,710.0,517.0,988.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,808.0,803.0,698.0,569.0,617.0,571.0,702.0,882.0,887.0,597.0,617.0,755.0,945.0,747.0,878.0,870.0,778.0,988.0,651.0,778.0,655.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-02,680,49.666666666666664,0.007105263157894737,718.0,517.0,988.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,808.0,803.0,698.0,569.0,617.0,571.0,702.0,882.0,887.0,597.0,617.0,755.0,945.0,747.0,878.0,870.0,778.0,988.0,651.0,778.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-03,896,49.44444444444444,0.216578947368421,715.0,517.0,988.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,808.0,803.0,698.0,569.0,617.0,571.0,702.0,882.0,887.0,597.0,617.0,755.0,945.0,747.0,878.0,870.0,778.0,988.0,651.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-04,893,44.666666666666664,0.11052631578947367,723.0,517.0,988.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,808.0,803.0,698.0,569.0,617.0,571.0,702.0,882.0,887.0,597.0,617.0,755.0,945.0,747.0,878.0,870.0,778.0,988.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-05,1154,40.55555555555556,0.009210526315789473,720.0,517.0,945.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,808.0,803.0,698.0,569.0,617.0,571.0,702.0,882.0,887.0,597.0,617.0,755.0,945.0,747.0,878.0,870.0,778.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-06,735,42.55555555555556,0.0005263157894736842,733.0,517.0,1154.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,808.0,803.0,698.0,569.0,617.0,571.0,702.0,882.0,887.0,597.0,617.0,755.0,945.0,747.0,878.0,870.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-07,661,43.22222222222222,0.0013157894736842105,728.0,517.0,1154.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,808.0,803.0,698.0,569.0,617.0,571.0,702.0,882.0,887.0,597.0,617.0,755.0,945.0,747.0,878.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-08,613,38.27777777777778,0.0,721.0,517.0,1154.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,808.0,803.0,698.0,569.0,617.0,571.0,702.0,882.0,887.0,597.0,617.0,755.0,945.0,747.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-09,667,41.333333333333336,0.034736842105263156,716.0,517.0,1154.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,808.0,803.0,698.0,569.0,617.0,571.0,702.0,882.0,887.0,597.0,617.0,755.0,945.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
